Type,Level,Name,Resource,Spell Script Name,Generic Description,Identified Description
Special,0,"Find Familiar","OHMISC90","","Find Familiar
(Conjuration/Summoning)

Level: 1
Range: n/a
Duration: Special
Casting Time: 9
Area of Effect: 1 familiar
Saving Throw: None

This spell enables the caster to attempt to summon a familiar to act as <PRO_HISHER> aide and companion. Familiars are typically small creatures. A creature acting as a familiar can benefit a wizard, conveying its sensory powers to its master, conversing with <PRO_HIMHER>, and serving as a guard/scout/spy as well. A wizard can have only one familiar at a time, and <PRO_HESHE> has no control over what sort of creature answers the summoning, if any come at all.

(Note: This spell may only be cast by the protagonist.)

The creature is always more intelligent than others of its type (typically by 2 or 3 Intelligence points), and its bond with the wizard confers upon it an exceptionally long life. The wizard has an empathic link with the familiar and can issue it mental commands. The caster receives half the familiar's total Hit Points (rounded down) as bonus Hit Points. However, the caster must take care to treat <PRO_HISHER> familiar well, for if the familiar should die, the caster loses the bonus Hit Points and half the familiar's Hit Points again as damage. Also when a familiar dies, the caster loses 1 point of Constitution PERMANENTLY.

Example: A Mage has 12 Hit Points and casts Find Familiar. The imp summoned has 9 Hit Points, so the caster gets a bonus of 4 Hit Points. The caster now has 16 Hit Points. If the familiar dies, the caster loses those 4 Hit Points (putting <PRO_HIMHER> back at 12), loses 1 point of Constitution permanently (which may cause additional Hit Point loss), and takes 4 damage.

Here is a list of the familiars that the player receives according to alignment:

LAWFUL GOOD, NEUTRAL GOOD: Pseudo Dragon
– Hit Points: 12
– Armor Class: 0
– Magic Resistance: 35%
– Combat: 2 attacks per round at 15 THAC0 for 1d3 damage
– Special Abilities: Can cast Blur once per day. Regenerates 1 HP/round. Immune to level drain, sleep, and petrification.

LAWFUL NEUTRAL: Ferret
– Hit Points: 12
– Armor Class: 2
– Magic Resistance: 35%
– Combat: 2 attacks per round at 15 THAC0 for 1d3 damage
– Special Abilities: Has 50% in Pick Pockets, 25% in Hide in Shadows/Move Silently, and 20% in Detect Traps. Can cast Blur once per day. Immune to level drain, sleep, and petrification.

LAWFUL EVIL: Imp
– Armor Class: 4
– Hit Points: 9
– Magic Resistance: 15%
– Combat: 1 attack per round at 17 THAC0 for 1d6 damage
– Special Abilities: Has 100% resistance to fire, cold, and electricity. Can cast Polymorph Self once per day. Regenerates 1 HP/round.

NEUTRAL: Rabbit
– Hit Points: 12
– Armor Class: 3
– Magic Resistance: 45%
– Combat: 2 attacks per round at 15 THAC0 for 1d2 damage
– Special Abilities: Has 20% in Move Silently/Hide In Shadows and 40% in Find Traps. Has 75% resistance to fire, cold, and electricity.

NEUTRAL EVIL: Dust Mephit
– Hit Points: 12
– Armor Class: 8
– Magic Resistance: 10%
– Combat: 2 attacks per round at 15 THAC0 for 1d2 damage
– Special Abilities: Has 100% resistance to fire and 35% resistance to slashing, piercing, and missile damage. Can cast Glass Dust twice per day. Regenerates 1 HP/round. Immune to level drain, sleep, and petrification.

CHAOTIC GOOD: Fairy Dragon
– Hit Points: 12
– Armor Class: 6
– Magic Resistance: 25%
– Combat: 2 attacks per round at 15 THAC0 for 1d2 damage
– Special Abilities: Can cast Mirror Image once per day. Immune to level drain, sleep, and petrification.

CHAOTIC NEUTRAL: Cat
– Hit Points: 12
– Armor Class: 2
– Magic Resistance: 35%
– Combat: 2 attacks per round at 15 THAC0 for 1d3 damage
– Special Abilities: Has 15% in Pick Pockets and 65% in Move Silently/Hide In Shadows. Immune to level drain, sleep, and petrification.

CHAOTIC EVIL: Quasit
– Hit Points: 12
– Armor Class: 4
– Magic Resistance: 15%
– Combat: 2 attacks per round at 15 THAC0 for 1d6 damage
– Special Abilities: Has 100% resistance to fire, cold, and electricity. Can cast Horror once per day. Regenerates 1 HP/round.",No Description
Special,0,"Find Familiar","OHLOST","","Find Familiar
(Conjuration/Summoning)

Level: 1
Range: n/a
Duration: Special
Casting Time: 9
Area of Effect: 1 familiar
Saving Throw: None

This spell enables the caster to attempt to summon a familiar to act as <PRO_HISHER> aide and companion. Familiars are typically small creatures. A creature acting as a familiar can benefit a wizard, conveying its sensory powers to its master, conversing with <PRO_HIMHER>, and serving as a guard/scout/spy as well. A wizard can have only one familiar at a time, and <PRO_HESHE> has no control over what sort of creature answers the summoning, if any come at all.

(Note: This spell may only be cast by the protagonist.)

The creature is always more intelligent than others of its type (typically by 2 or 3 Intelligence points), and its bond with the wizard confers upon it an exceptionally long life. The wizard has an empathic link with the familiar and can issue it mental commands. The caster receives half the familiar's total Hit Points (rounded down) as bonus Hit Points. However, the caster must take care to treat <PRO_HISHER> familiar well, for if the familiar should die, the caster loses the bonus Hit Points and half the familiar's Hit Points again as damage. Also when a familiar dies, the caster loses 1 point of Constitution PERMANENTLY.

Example: A Mage has 12 Hit Points and casts Find Familiar. The imp summoned has 9 Hit Points, so the caster gets a bonus of 4 Hit Points. The caster now has 16 Hit Points. If the familiar dies, the caster loses those 4 Hit Points (putting <PRO_HIMHER> back at 12), loses 1 point of Constitution permanently (which may cause additional Hit Point loss), and takes 4 damage.

Here is a list of the familiars that the player receives according to alignment:

LAWFUL GOOD, NEUTRAL GOOD: Pseudo Dragon
– Hit Points: 12
– Armor Class: 0
– Magic Resistance: 35%
– Combat: 2 attacks per round at 15 THAC0 for 1d3 damage
– Special Abilities: Can cast Blur once per day. Regenerates 1 HP/round. Immune to level drain, sleep, and petrification.

LAWFUL NEUTRAL: Ferret
– Hit Points: 12
– Armor Class: 2
– Magic Resistance: 35%
– Combat: 2 attacks per round at 15 THAC0 for 1d3 damage
– Special Abilities: Has 50% in Pick Pockets, 25% in Hide in Shadows/Move Silently, and 20% in Detect Traps. Can cast Blur once per day. Immune to level drain, sleep, and petrification.

LAWFUL EVIL: Imp
– Armor Class: 4
– Hit Points: 9
– Magic Resistance: 15%
– Combat: 1 attack per round at 17 THAC0 for 1d6 damage
– Special Abilities: Has 100% resistance to fire, cold, and electricity. Can cast Polymorph Self once per day. Regenerates 1 HP/round.

NEUTRAL: Rabbit
– Hit Points: 12
– Armor Class: 3
– Magic Resistance: 45%
– Combat: 2 attacks per round at 15 THAC0 for 1d2 damage
– Special Abilities: Has 20% in Move Silently/Hide In Shadows and 40% in Find Traps. Has 75% resistance to fire, cold, and electricity.

NEUTRAL EVIL: Dust Mephit
– Hit Points: 12
– Armor Class: 8
– Magic Resistance: 10%
– Combat: 2 attacks per round at 15 THAC0 for 1d2 damage
– Special Abilities: Has 100% resistance to fire and 35% resistance to slashing, piercing, and missile damage. Can cast Glass Dust twice per day. Regenerates 1 HP/round. Immune to level drain, sleep, and petrification.

CHAOTIC GOOD: Fairy Dragon
– Hit Points: 12
– Armor Class: 6
– Magic Resistance: 25%
– Combat: 2 attacks per round at 15 THAC0 for 1d2 damage
– Special Abilities: Can cast Mirror Image once per day. Immune to level drain, sleep, and petrification.

CHAOTIC NEUTRAL: Cat
– Hit Points: 12
– Armor Class: 2
– Magic Resistance: 35%
– Combat: 2 attacks per round at 15 THAC0 for 1d3 damage
– Special Abilities: Has 15% in Pick Pockets and 65% in Move Silently/Hide In Shadows. Immune to level drain, sleep, and petrification.

CHAOTIC EVIL: Quasit
– Hit Points: 12
– Armor Class: 4
– Magic Resistance: 15%
– Combat: 2 attacks per round at 15 THAC0 for 1d6 damage
– Special Abilities: Has 100% resistance to fire, cold, and electricity. Can cast Horror once per day. Regenerates 1 HP/round.",No Description
Special,1,"Magic Missile","1STAFM1","","Magic Missile
(Evocation)

Level: 1
Range: Visual range of the caster
Duration: Instant
Casting Time: 1
Area of Effect: 1 creature
Saving Throw: None 

Use of the Magic Missile spell, one of the most popular 1st-level spells, creates up to five missiles of magical energy that dart forth from the wizard's fingertip and unerringly strike their target, which must be a creature of some sort. Each missile inflicts 1d4+1 points of damage. For every 2 extra levels of experience, the wizard gains an additional missile—<PRO_HESHE> has 2 at 3rd level, 3 at 5th level, 4 at 7th level, up to a total of 5 at 9th level.",No Description
Special,1,"Magic Missile","1STAFM0E","","Magic Missile
(Evocation)

Level: 1
Range: Visual range of the caster
Duration: Instant
Casting Time: 1
Area of Effect: 1 creature
Saving Throw: None 

Use of the Magic Missile spell, one of the most popular 1st-level spells, creates up to five missiles of magical energy that dart forth from the wizard's fingertip and unerringly strike their target, which must be a creature of some sort. Each missile inflicts 1d4+1 points of damage. For every 2 extra levels of experience, the wizard gains an additional missile—<PRO_HESHE> has 2 at 3rd level, 3 at 5th level, 4 at 7th level, up to a total of 5 at 9th level.",No Description
Special,1,"Magic Missile","1STAFM0D","","Magic Missile
(Evocation)

Level: 1
Range: Visual range of the caster
Duration: Instant
Casting Time: 1
Area of Effect: 1 creature
Saving Throw: None 

Use of the Magic Missile spell, one of the most popular 1st-level spells, creates up to five missiles of magical energy that dart forth from the wizard's fingertip and unerringly strike their target, which must be a creature of some sort. Each missile inflicts 1d4+1 points of damage. For every 2 extra levels of experience, the wizard gains an additional missile—<PRO_HESHE> has 2 at 3rd level, 3 at 5th level, 4 at 7th level, up to a total of 5 at 9th level.",No Description
Special,1,"Magic Missile","1STAFM0C","","Magic Missile
(Evocation)

Level: 1
Range: Visual range of the caster
Duration: Instant
Casting Time: 1
Area of Effect: 1 creature
Saving Throw: None 

Use of the Magic Missile spell, one of the most popular 1st-level spells, creates up to five missiles of magical energy that dart forth from the wizard's fingertip and unerringly strike their target, which must be a creature of some sort. Each missile inflicts 1d4+1 points of damage. For every 2 extra levels of experience, the wizard gains an additional missile—<PRO_HESHE> has 2 at 3rd level, 3 at 5th level, 4 at 7th level, up to a total of 5 at 9th level.",No Description
Special,1,"Magic Missile","1STAFM0B","","Magic Missile
(Evocation)

Level: 1
Range: Visual range of the caster
Duration: Instant
Casting Time: 1
Area of Effect: 1 creature
Saving Throw: None 

Use of the Magic Missile spell, one of the most popular 1st-level spells, creates up to five missiles of magical energy that dart forth from the wizard's fingertip and unerringly strike their target, which must be a creature of some sort. Each missile inflicts 1d4+1 points of damage. For every 2 extra levels of experience, the wizard gains an additional missile—<PRO_HESHE> has 2 at 3rd level, 3 at 5th level, 4 at 7th level, up to a total of 5 at 9th level.",No Description
Special,1,"Magic Missile","1STAFM0","","Magic Missile
(Evocation)

Level: 1
Range: Visual range of the caster
Duration: Instant
Casting Time: 1
Area of Effect: 1 creature
Saving Throw: None 

Use of the Magic Missile spell, one of the most popular 1st-level spells, creates up to five missiles of magical energy that dart forth from the wizard's fingertip and unerringly strike their target, which must be a creature of some sort. Each missile inflicts 1d4+1 points of damage. For every 2 extra levels of experience, the wizard gains an additional missile—<PRO_HESHE> has 2 at 3rd level, 3 at 5th level, 4 at 7th level, up to a total of 5 at 9th level.",No Description
Special,244,"Winter Wolf Pelt","CDDETECT","","Friendly Arm Inn","The pure white pelt of the winter wolf is soft and luxurious. It is often sewn into garments as diverse as the rugged vests of the northern Uthgardt Barbarians and the delicate and fashionable winter stoles worn by noblewomen throughout the Sword Coast region.

STATISTICS:

Weight: 10"
Wizard,0,"<No Name>","SPWI996","Charm Korax",No Description, No Description
Wizard,0,"<No Name>","SPWI939","Charm Hero",No Description, No Description
Wizard,0,"<No Name>","SPWI937","Summon Skeleton Warrior",No Description, No Description
Wizard,0,"<No Name>","SPWI936","Summon Skeleton Warrior2",No Description, No Description
Wizard,0,"<No Name>","SPWI935","Summon Skeleton Warrior3",No Description, No Description
Wizard,0,"<No Name>","SPWI934","Crushing Trap",No Description, No Description
Wizard,0,"<No Name>","SPWI933","Durlag Sword",No Description, No Description
Wizard,0,"<No Name>","SPWI932","Tanari Change",No Description, No Description
Wizard,0,"<No Name>","SPWI413A","Wizard Otilukes Resilient Sphere",No Description, No Description
Wizard,0,"<No Name>","SPCL415A","",No Description, No Description
Wizard,0,"Charm Person","SPWI930","Succubus Charm Male","Charm Person
(Enchantment/Charm)

Level: 1
Range: Visual range of the caster
Duration: 5 rounds
Casting Time: 1
Area of Effect: 1 person
Saving Throw: Neg. 

This spell affects any single person it is cast upon. The term person includes any bipedal human, demihuman, or humanoid of man-size or smaller, such as brownies, dryads, dwarves, elves, gnolls, gnomes, goblins, half-elves, halflings, half-orcs, hobgoblins, humans, kobolds, lizard men, nixies, orcs, pixies, sprites, troglodytes, and others. Thus, a 10th-level fighter could be charmed, but an ogre could not. The person is allowed a Saving Throw vs. Spell to negate the effect.

If the spell's recipient fails his Saving Throw (with a +3 modifier), he regards the caster as a trusted friend and ally to be heeded and protected. The caster may give him orders, and the charmed individual will carry them out as quickly as possible.

If the caster harms—or attempts to harm—the charmed person by some overt action, or if a Dispel Magic spell is cast upon the charmed person, the Charm spell is broken. If two or more Charms simultaneously affect a creature, the most recent Charm takes precedence. Note that the subject has full memory of the events that took place while he was charmed. Also note that you cannot have a charmed creature leave the area where he is charmed.",No Description
Wizard,0,"Charm Person","SPWI929","Succubus Charm Female","Charm Person
(Enchantment/Charm)

Level: 1
Range: Visual range of the caster
Duration: 5 rounds
Casting Time: 1
Area of Effect: 1 person
Saving Throw: Neg. 

This spell affects any single person it is cast upon. The term person includes any bipedal human, demihuman, or humanoid of man-size or smaller, such as brownies, dryads, dwarves, elves, gnolls, gnomes, goblins, half-elves, halflings, half-orcs, hobgoblins, humans, kobolds, lizard men, nixies, orcs, pixies, sprites, troglodytes, and others. Thus, a 10th-level fighter could be charmed, but an ogre could not. The person is allowed a Saving Throw vs. Spell to negate the effect.

If the spell's recipient fails his Saving Throw (with a +3 modifier), he regards the caster as a trusted friend and ally to be heeded and protected. The caster may give him orders, and the charmed individual will carry them out as quickly as possible.

If the caster harms—or attempts to harm—the charmed person by some overt action, or if a Dispel Magic spell is cast upon the charmed person, the Charm spell is broken. If two or more Charms simultaneously affect a creature, the most recent Charm takes precedence. Note that the subject has full memory of the events that took place while he was charmed. Also note that you cannot have a charmed creature leave the area where he is charmed.",No Description
Wizard,0,"Energy Drain","SPWI928","Succubus Energy Drain",No Description, No Description
Wizard,0,"Ethereal","SPWI927","Succubus Ethereal",No Description, No Description
Wizard,1,"<No Name>","XVARTIL","",No Description, No Description
Wizard,1,"<No Name>","TASLOIIL","",No Description, No Description
Wizard,1,"<No Name>","SW2H01B","",No Description, No Description
Wizard,1,"<No Name>","SW2H01","",No Description, No Description
Wizard,1,"<No Name>","SW1H21","",No Description, No Description
Wizard,1,"<No Name>","SW1H20","",No Description, No Description
Wizard,1,"<No Name>","SW1H17","",No Description, No Description
Wizard,1,"<No Name>","SW1H12","",No Description, No Description
Wizard,1,"<No Name>","SW1H07","",No Description, No Description
Wizard,1,"<No Name>","SW1H04","",No Description, No Description
Wizard,1,"<No Name>","SW1H01","",No Description, No Description
Wizard,1,"<No Name>","SPWI993","Doppleganger Change",No Description, No Description
Wizard,1,"<No Name>","SPWI992","Doppleganger Change2",No Description, No Description
Wizard,1,"<No Name>","SPWI991","Doppleganger Rashad",No Description, No Description
Wizard,1,"<No Name>","SPWI990","Doppleganger Change3",No Description, No Description
Wizard,1,"<No Name>","SPWI988","Doppleganger Change Default",No Description, No Description
Wizard,1,"<No Name>","SPWI987","Doppleganger Change Default Lesser",No Description, No Description
Wizard,1,"<No Name>","SPWI985","Red Holy Might",No Description, No Description
Wizard,1,"<No Name>","SPWI984","Red Swirl",No Description, No Description
Wizard,1,"<No Name>","SPWI983","Rise From Ash",No Description, No Description
Wizard,1,"<No Name>","SPWI981","Mushroom Fire",No Description, No Description
Wizard,1,"<No Name>","SPWI980","Fireball Death",No Description, No Description
Wizard,1,"<No Name>","SPWI965","Doppleganger Change8",No Description, No Description
Wizard,1,"<No Name>","SPWI964","Doppleganger Change7",No Description, No Description
Wizard,1,"<No Name>","SPWI963","Doppleganger Change6",No Description, No Description
Wizard,1,"<No Name>","SPWI962","Doppleganger Change5",No Description, No Description
Wizard,1,"<No Name>","SPWI961","Doppleganger Change4",No Description, No Description
Wizard,1,"<No Name>","SPWI951","Jelly Split",No Description, No Description
Wizard,1,"<No Name>","SPWI949","Wolfwere Change",No Description, No Description
Wizard,1,"<No Name>","SPWI948","Werewolf Change",No Description, No Description
Wizard,1,"<No Name>","SPWI947","Greater Wolfwere Change",No Description, No Description
Wizard,1,"<No Name>","SPWI946","Player Werewolf Change",No Description, No Description
Wizard,1,"<No Name>","SPWI945","Loupgar Change",No Description, No Description
Wizard,1,"<No Name>","SPWI944","Daesewolf Change",No Description, No Description
Wizard,1,"<No Name>","SPWI942","Queen Change",No Description, No Description
Wizard,1,"<No Name>","SPWI941","Lovem Change",No Description, No Description
Wizard,1,"<No Name>","SPWI925","Kaishas Change",No Description, No Description
Wizard,1,"<No Name>","SPWI924","Beresh Change",No Description, No Description
Wizard,1,"<No Name>","SPWI119A","Wizard Larloch Minor Drain","Larloch's Minor Drain 
(Necromancy)

Level: 1
Range: 30 ft.
Duration: Special
Casting Time: 1
Area of Effect: 1 creature
Saving Throw: None

With this spell, the wizard drains the life force from a target and adds it to <PRO_HISHER> own. The target creature suffers 4 damage, while the Mage gains 4 Hit Points. If the Mage goes over <PRO_HISHER> maximum Hit Point total with this spell, <PRO_HESHE> loses any extra Hit Points after 1 turn.",No Description
Wizard,1,"<No Name>","SPWI117A","Wizard Chill Touch","Chill Touch
(Necromancy)

Level: 1
Range: 0
Duration: 1 turn
Casting Time: 1
Area of Effect: The creature
Saving Throw: Neg.

When the caster completes this spell, a blue glow encompasses <PRO_HISHER> hand. This energy attacks the life force of any living creature upon which the wizard makes a successful melee attack. (Nonliving creatures such as golems and undead are unaffected by this spell.) The creature is punched for 1d2 fist damage (Strength bonuses apply) and must make a Saving Throw vs. Spell or suffer 1d8 points of damage and receive a -2 THAC0 penalty for 5 rounds.",No Description
Wizard,1,"<No Name>","SPIN995","",No Description, No Description
Wizard,1,"<No Name>","SPIN994","Acid Damage 1",No Description, No Description
Wizard,1,"<No Name>","SPIN972","Djinni Gas Form Change",No Description, No Description
Wizard,1,"<No Name>","SPIN971","Doa Gas Form Change",No Description, No Description
Wizard,1,"<No Name>","SPIN970","Efreeti Gas Form Change",No Description, No Description
Wizard,1,"<No Name>","SPIN969","Djinni Physical Form Change",No Description, No Description
Wizard,1,"<No Name>","SPIN968","Doa Physical Form Change",No Description, No Description
Wizard,1,"<No Name>","SPIN967","Efreeti Physical Form Change",No Description, No Description
Wizard,1,"<No Name>","SPIN915","Spider Change",No Description, No Description
Wizard,1,"<No Name>","SPIN899","Red Effect",No Description, No Description
Wizard,1,"<No Name>","SPIN867","Red Pillar Visual",No Description, No Description
Wizard,1,"<No Name>","SPIN846","Sand Die",No Description, No Description
Wizard,1,"<No Name>","SPIN821","Long Red Might",No Description, No Description
Wizard,1,"<No Name>","SPIN776","Make Statue","Flesh to Stone
(Alteration)

Level: 6
Range: Visual range of the caster
Duration: Permanent
Casting Time: 6
Area of Effect: 1 creature
Saving Throw: Neg.

This spell turns flesh of any sort to stone. All possessions on the person of the creature likewise turn to stone. The intended subject of the spell receives a Saving Throw vs. Spell to avoid the effect. If a statue created by this spell is subjected to attacks of any sort, it will shatter into tiny pieces, making it impossible for the creature to be returned to flesh. The reverse of this spell may be cast upon the victim in order to restore life, but this is the only way.",No Description
Wizard,1,"<No Name>","SPER01","",No Description, No Description
Wizard,1,"<No Name>","OHWI925","Kaishas Change",No Description, No Description
Wizard,1,"<No Name>","OHWI924","Beresh Change",No Description, No Description
Wizard,1,"<No Name>","OHDEST","",No Description, No Description
Wizard,1,"<No Name>","HAMM01","",No Description, No Description
Wizard,1,"<No Name>","HALB01","",No Description, No Description
Wizard,1,"<No Name>","FLIND1","",No Description, No Description
Wizard,1,"<No Name>","DAGGSHIT","",No Description, No Description
Wizard,1,"<No Name>","DAGG07","",No Description, No Description
Wizard,1,"<No Name>","DAGG06","",No Description, No Description
Wizard,1,"<No Name>","DAGG01","",No Description, No Description
Wizard,1,"<No Name>","CATTAC1","",No Description, No Description
Wizard,1,"<No Name>","BLUN08","",No Description, No Description
Wizard,1,"<No Name>","BLUN06","",No Description, No Description
Wizard,1,"<No Name>","BLUN04","",No Description, No Description
Wizard,1,"<No Name>","BLUN02","",No Description, No Description
Wizard,1,"<No Name>","AX1H01","",No Description, No Description
Wizard,1,"Antichickenator","SPWI989","Effect Only",No Description, No Description
Wizard,1,"Armor","SPWI102","Wizard Armor","Armor
(Conjuration)

Level: 1
Range: 0
Duration: 9 hours
Casting Time: 9
Area of Effect: The caster
Saving Throw: None

By means of this spell, the wizard creates a magical field of force that serves as if it were scale mail armor (AC 6). It is cumulative with Dexterity bonuses to Armor Class and, in the case of Fighter/Mages, with the shield bonus. The Armor spell does not hinder movement, adds no weight or encumbrance, and doesn't prevent spellcasting. It lasts until successfully dispelled or until its duration expires.",No Description
Wizard,1,"Blindness","SPWM178","","Blindness
(Illusion/Phantasm)

Level: 1
Range: 40 ft.
Duration: 2 hours
Casting Time: 2
Area of Effect: 1 creature
Saving Throw: Neg.

This 1st-level spell temporarily blinds its target. A Saving Throw is allowed and, if successful, there are no harmful effects. If a victim is blinded, <PRO_HESHE> receives a -4 penalty to <PRO_HISHER> attack rolls and Armor Class.",No Description
Wizard,1,"Blindness","SPWI106","Wizard Blindness","Blindness
(Illusion/Phantasm)

Level: 1
Range: 40 ft.
Duration: 2 hours
Casting Time: 2
Area of Effect: 1 creature
Saving Throw: Neg.

This 1st-level spell temporarily blinds its target. A Saving Throw is allowed and, if successful, there are no harmful effects. If a victim is blinded, <PRO_HESHE> receives a -4 penalty to <PRO_HISHER> attack rolls and Armor Class.",No Description
Wizard,1,"Burning Hands","SPWI103","Wizard Burning Hands","Burning Hands
(Alteration)

Level: 1
Range: 5 ft.
Duration: Instant 
Casting Time: 1 
Area of Effect: 1 creature
Saving Throw: 1/2

When the wizard casts this spell, a jet of searing flame shoots from <PRO_HISHER> fingertips. The wizard's hands must be held so as to send forth a fanlike sheet of flames: <PRO_HISHER> thumbs must touch each other and the fingers must be spread. The burning hands send out flame jets of 5 ft. length in a horizontal arc of about 120 degrees in front of the wizard. The target suffers 1d3 points of damage, +2 points for each level of the caster, to a maximum of 1d3+20 points of fire damage. A creature that successfully saves vs. Spell receives half damage.",No Description
Wizard,1,"Charm Person","SPWM186","","Charm Person
(Enchantment/Charm)

Level: 1
Range: Visual range of the caster
Duration: 5 rounds
Casting Time: 1
Area of Effect: 1 person
Saving Throw: Neg. 

This spell affects any single person it is cast upon. The term person includes any bipedal human, demihuman, or humanoid of man-size or smaller, such as brownies, dryads, dwarves, elves, gnolls, gnomes, goblins, half-elves, halflings, half-orcs, hobgoblins, humans, kobolds, lizard men, nixies, orcs, pixies, sprites, troglodytes, and others. Thus, a 10th-level fighter could be charmed, but an ogre could not. The person is allowed a Saving Throw vs. Spell to negate the effect.

If the spell's recipient fails his Saving Throw (with a +3 modifier), he regards the caster as a trusted friend and ally to be heeded and protected. The caster may give him orders, and the charmed individual will carry them out as quickly as possible.

If the caster harms—or attempts to harm—the charmed person by some overt action, or if a Dispel Magic spell is cast upon the charmed person, the Charm spell is broken. If two or more Charms simultaneously affect a creature, the most recent Charm takes precedence. Note that the subject has full memory of the events that took place while he was charmed. Also note that you cannot have a charmed creature leave the area where he is charmed.",No Description
Wizard,1,"Charm Person","SPWM162","","Charm Person
(Enchantment/Charm)

Level: 1
Range: Visual range of the caster
Duration: 5 rounds
Casting Time: 1
Area of Effect: 1 person
Saving Throw: Neg. 

This spell affects any single person it is cast upon. The term person includes any bipedal human, demihuman, or humanoid of man-size or smaller, such as brownies, dryads, dwarves, elves, gnolls, gnomes, goblins, half-elves, halflings, half-orcs, hobgoblins, humans, kobolds, lizard men, nixies, orcs, pixies, sprites, troglodytes, and others. Thus, a 10th-level fighter could be charmed, but an ogre could not. The person is allowed a Saving Throw vs. Spell to negate the effect.

If the spell's recipient fails his Saving Throw (with a +3 modifier), he regards the caster as a trusted friend and ally to be heeded and protected. The caster may give him orders, and the charmed individual will carry them out as quickly as possible.

If the caster harms—or attempts to harm—the charmed person by some overt action, or if a Dispel Magic spell is cast upon the charmed person, the Charm spell is broken. If two or more Charms simultaneously affect a creature, the most recent Charm takes precedence. Note that the subject has full memory of the events that took place while he was charmed. Also note that you cannot have a charmed creature leave the area where he is charmed.",No Description
Wizard,1,"Charm Person","SPWI104","Wizard Charm Person","Charm Person
(Enchantment/Charm)

Level: 1
Range: Visual range of the caster
Duration: 5 rounds
Casting Time: 1
Area of Effect: 1 person
Saving Throw: Neg. 

This spell affects any single person it is cast upon. The term person includes any bipedal human, demihuman, or humanoid of man-size or smaller, such as brownies, dryads, dwarves, elves, gnolls, gnomes, goblins, half-elves, halflings, half-orcs, hobgoblins, humans, kobolds, lizard men, nixies, orcs, pixies, sprites, troglodytes, and others. Thus, a 10th-level fighter could be charmed, but an ogre could not. The person is allowed a Saving Throw vs. Spell to negate the effect.

If the spell's recipient fails his Saving Throw (with a +3 modifier), he regards the caster as a trusted friend and ally to be heeded and protected. The caster may give him orders, and the charmed individual will carry them out as quickly as possible.

If the caster harms—or attempts to harm—the charmed person by some overt action, or if a Dispel Magic spell is cast upon the charmed person, the Charm spell is broken. If two or more Charms simultaneously affect a creature, the most recent Charm takes precedence. Note that the subject has full memory of the events that took place while he was charmed. Also note that you cannot have a charmed creature leave the area where he is charmed.","Charm Person
(Enchantment/Charm)

Level: 1
Range: Visual range of the caster
Duration: 5 rounds
Casting Time: 1
Area of Effect: 1 person
Saving Throw: Neg. 

This spell affects any single person it is cast upon. The term person includes any bipedal human, demihuman, or humanoid of man-size or smaller, such as brownies, dryads, dwarves, elves, gnolls, gnomes, goblins, half-elves, halflings, half-orcs, hobgoblins, humans, kobolds, lizard men, nixies, orcs, pixies, sprites, troglodytes, and others. Thus, a 10th-level fighter could be charmed, but an ogre could not. The person is allowed a Saving Throw vs. Spell to negate the effect.

If the spell's recipient fails his Saving Throw (with a +3 modifier), he regards the caster as a trusted friend and ally to be heeded and protected. The caster may give him orders, and the charmed individual will carry them out as quickly as possible.

If the caster harms—or attempts to harm—the charmed person by some overt action, or if a Dispel Magic spell is cast upon the charmed person, the Charm spell is broken. If two or more Charms simultaneously affect a creature, the most recent Charm takes precedence. Note that the subject has full memory of the events that took place while he was charmed. Also note that you cannot have a charmed creature leave the area where he is charmed."
